Home Team,Visitor Team,KNN Winner,Decision Tree Winner
Jazz,Nuggets,Nuggets,Nuggets
Jazz,Rockets,Rockets,Rockets
Jazz,Clippers,Clippers,Clippers
Jazz,Lakers,Lakers,Lakers
Jazz,Heat,Heat,Heat
Jazz,Bucks,Jazz,Bucks
Jazz,Timberwolves,Jazz,Timberwolves
Jazz,Nets,Jazz,Nets
Jazz,Knicks,Jazz,Knicks
Jazz,Magic,Jazz,Magic
Jazz,Pacers,Jazz,Pacers
Jazz,76ers,Jazz,76ers
Jazz,Suns,Suns,Suns
Jazz,Trail Blazers,Jazz,Trail Blazers
Jazz,Kings,Jazz,Kings
Jazz,Spurs,Spurs,Spurs
Jazz,Thunder,Jazz,Thunder
Jazz,Raptors,Jazz,Raptors
Jazz,Grizzlies,Jazz,Grizzlies
Jazz,Wizards,Jazz,Wizards
Jazz,Pistons,Jazz,Pistons
Jazz,Hornets,Jazz,Hornets
Jazz,Cavaliers,Jazz,Cavaliers
Jazz,Warriors,Warriors,Warriors
Grizzlies,Hawks,Grizzlies,Hawks
Grizzlies,Celtics,Celtics,Celtics
Grizzlies,Pelicans,Grizzlies,Pelicans
Grizzlies,Bulls,Grizzlies,Bulls
Grizzlies,Mavericks,Mavericks,Mavericks
Grizzlies,Nuggets,Nuggets,Nuggets
Grizzlies,Rockets,Rockets,Rockets
Grizzlies,Clippers,Grizzlies,Clippers
Grizzlies,Lakers,Grizzlies,Lakers
Grizzlies,Heat,Heat,Heat
Grizzlies,Bucks,Grizzlies,Bucks
Grizzlies,Timberwolves,Grizzlies,Timberwolves
Grizzlies,Nets,Grizzlies,Nets
Grizzlies,Knicks,Grizzlies,Knicks
Grizzlies,Magic,Grizzlies,Magic
Grizzlies,Pacers,Grizzlies,Pacers
Grizzlies,76ers,Grizzlies,76ers
Grizzlies,Suns,Grizzlies,Suns
Grizzlies,Trail Blazers,Grizzlies,Trail Blazers
Grizzlies,Kings,Grizzlies,Kings
Grizzlies,Spurs,Spurs,Spurs
Grizzlies,Thunder,Grizzlies,Thunder
Grizzlies,Raptors,Grizzlies,Raptors
Grizzlies,Jazz,Jazz,Jazz
Grizzlies,Wizards,Grizzlies,Wizards
Grizzlies,Pistons,Grizzlies,Pistons
Grizzlies,Hornets,Grizzlies,Hornets
Grizzlies,Cavaliers,Grizzlies,Cavaliers
Grizzlies,Warriors,Warriors,Warriors
Wizards,Hawks,Wizards,Hawks
Wizards,Celtics,Wizards,Celtics
Wizards,Pelicans,Wizards,Pelicans
Wizards,Bulls,Wizards,Bulls
Wizards,Mavericks,Mavericks,Mavericks
Wizards,Nuggets,Nuggets,Nuggets
Wizards,Rockets,Wizards,Rockets
Wizards,Clippers,Wizards,Clippers
Wizards,Lakers,Wizards,Lakers
Wizards,Heat,Wizards,Heat
Wizards,Bucks,Wizards,Bucks
Wizards,Timberwolves,Wizards,Timberwolves
Wizards,Nets,Wizards,Nets
Wizards,Knicks,Wizards,Knicks
Wizards,Magic,Wizards,Magic
Wizards,Pacers,Wizards,Pacers
Wizards,76ers,Wizards,76ers
Wizards,Suns,Wizards,Suns
Wizards,Trail Blazers,Wizards,Trail Blazers
Wizards,Kings,Wizards,Kings
Wizards,Spurs,Spurs,Spurs
Wizards,Thunder,Wizards,Thunder
Wizards,Raptors,Wizards,Raptors
Wizards,Jazz,Wizards,Jazz
Wizards,Grizzlies,Wizards,Grizzlies
Wizards,Pistons,Wizards,Pistons
Wizards,Hornets,Wizards,Hornets
Wizards,Cavaliers,Wizards,Cavaliers
Wizards,Warriors,Wizards,Warriors
Pistons,Hawks,Pistons,Hawks
Pistons,Celtics,Celtics,Celtics
Pistons,Pelicans,Pistons,Pelicans
Pistons,Bulls,Pistons,Bulls
Pistons,Mavericks,Mavericks,Mavericks
Pistons,Nuggets,Nuggets,Nuggets
Pistons,Rockets,Rockets,Rockets
Pistons,Clippers,Pistons,Clippers
Pistons,Lakers,Pistons,Lakers
Pistons,Heat,Pistons,Heat
Pistons,Bucks,Pistons,Bucks
Pistons,Timberwolves,Pistons,Timberwolves
Pistons,Nets,Pistons,Nets
Pistons,Knicks,Pistons,Knicks
Pistons,Magic,Pistons,Magic
Pistons,Pacers,Pistons,Pacers
Pistons,76ers,Pistons,76ers
Pistons,Suns,Pistons,Suns
Pistons,Trail Blazers,Pistons,Trail Blazers
Pistons,Kings,Pistons,Kings
Pistons,Spurs,Spurs,Spurs
Pistons,Thunder,Pistons,Thunder
Pistons,Raptors,Pistons,Raptors
Pistons,Jazz,Pistons,Jazz
Pistons,Grizzlies,Pistons,Grizzlies
Pistons,Wizards,Pistons,Wizards
Pistons,Hornets,Pistons,Hornets
Pistons,Cavaliers,Pistons,Cavaliers
Pistons,Warriors,Pistons,Warriors
Hornets,Hawks,Hornets,Hawks
Hornets,Celtics,Hornets,Celtics
Hornets,Pelicans,Hornets,Pelicans
Hornets,Bulls,Hornets,Bulls
Hornets,Mavericks,Hornets,Mavericks
Hornets,Nuggets,Hornets,Nuggets
Hornets,Rockets,Hornets,Rockets
Hornets,Clippers,Hornets,Clippers
Hornets,Lakers,Hornets,Lakers
Hornets,Heat,Hornets,Heat
Hornets,Bucks,Hornets,Bucks
Hornets,Timberwolves,Hornets,Timberwolves
Hornets,Nets,Hornets,Nets
Hornets,Knicks,Hornets,Knicks
Hornets,Magic,Hornets,Magic
Hornets,Pacers,Hornets,Pacers
Hornets,76ers,Hornets,76ers
Hornets,Suns,Hornets,Suns
Hornets,Trail Blazers,Hornets,Trail Blazers
Hornets,Kings,Hornets,Kings
Hornets,Spurs,Spurs,Spurs
Hornets,Thunder,Hornets,Thunder
Hornets,Raptors,Hornets,Raptors
Hornets,Jazz,Hornets,Jazz
Hornets,Grizzlies,Hornets,Grizzlies
Hornets,Wizards,Hornets,Wizards
Hornets,Pistons,Hornets,Pistons
Hornets,Cavaliers,Hornets,Cavaliers
Hornets,Warriors,Hornets,Warriors
Cavaliers,Hawks,Cavaliers,Hawks
Cavaliers,Celtics,Celtics,Celtics
Cavaliers,Pelicans,Cavaliers,Pelicans
Cavaliers,Bulls,Cavaliers,Bulls
Cavaliers,Mavericks,Mavericks,Mavericks
Cavaliers,Nuggets,Nuggets,Nuggets
Cavaliers,Rockets,Rockets,Rockets
Cavaliers,Clippers,Cavaliers,Clippers
Cavaliers,Lakers,Cavaliers,Lakers
Cavaliers,Heat,Cavaliers,Heat
Cavaliers,Bucks,Cavaliers,Bucks
Cavaliers,Timberwolves,Cavaliers,Timberwolves
Cavaliers,Nets,Cavaliers,Nets
Cavaliers,Knicks,Cavaliers,Knicks
Cavaliers,Magic,Cavaliers,Magic
Cavaliers,Pacers,Cavaliers,Pacers
Cavaliers,76ers,Cavaliers,76ers
Cavaliers,Suns,Cavaliers,Suns
Cavaliers,Trail Blazers,Cavaliers,Trail Blazers
Cavaliers,Kings,Cavaliers,Kings
Cavaliers,Spurs,Spurs,Spurs
Cavaliers,Thunder,Cavaliers,Thunder
Cavaliers,Raptors,Cavaliers,Raptors
Cavaliers,Jazz,Cavaliers,Jazz
Cavaliers,Grizzlies,Cavaliers,Grizzlies
Cavaliers,Wizards,Cavaliers,Wizards
Cavaliers,Pistons,Cavaliers,Pistons
Cavaliers,Hornets,Cavaliers,Hornets
Cavaliers,Warriors,Cavaliers,Warriors
Warriors,Hawks,Warriors,Hawks
Warriors,Celtics,Celtics,Celtics
Warriors,Pelicans,Warriors,Pelicans
Warriors,Bulls,Warriors,Bulls
Warriors,Mavericks,Mavericks,Mavericks
Warriors,Nuggets,Nuggets,Nuggets
Warriors,Rockets,Rockets,Rockets
Warriors,Clippers,Warriors,Clippers
Warriors,Lakers,Lakers,Lakers
Warriors,Heat,Heat,Heat
Warriors,Bucks,Warriors,Bucks
Warriors,Timberwolves,Warriors,Timberwolves
Warriors,Nets,Warriors,Nets
Warriors,Knicks,Warriors,Knicks
Warriors,Magic,Warriors,Magic
Warriors,Pacers,Warriors,Pacers
Warriors,76ers,Warriors,76ers
Warriors,Suns,Warriors,Suns
Warriors,Trail Blazers,Warriors,Trail Blazers
Warriors,Kings,Warriors,Kings
Warriors,Spurs,Spurs,Spurs
Warriors,Thunder,Warriors,Thunder
Warriors,Raptors,Warriors,Raptors
Warriors,Jazz,Jazz,Jazz
Warriors,Grizzlies,Warriors,Grizzlies
Warriors,Wizards,Warriors,Wizards
Warriors,Pistons,Warriors,Pistons
Warriors,Hornets,Warriors,Hornets
Warriors,Cavaliers,Warriors,Cavaliers
