Home Team,Visitor Team,KNN Winner,Decision Tree Winner
Mavericks,76ers,Mavericks,76ers
Mavericks,Suns,Mavericks,Suns
Mavericks,Trail Blazers,Mavericks,Trail Blazers
Mavericks,Kings,Mavericks,Kings
Mavericks,Spurs,Spurs,Spurs
Mavericks,Thunder,Mavericks,Thunder
Mavericks,Raptors,Mavericks,Raptors
Mavericks,Jazz,Jazz,Jazz
Mavericks,Grizzlies,Mavericks,Grizzlies
Mavericks,Wizards,Mavericks,Wizards
Mavericks,Pistons,Mavericks,Pistons
Mavericks,Hornets,Mavericks,Hornets
Mavericks,Cavaliers,Mavericks,Cavaliers
Mavericks,Warriors,Warriors,Warriors
Nuggets,Hawks,Nuggets,Hawks
Nuggets,Celtics,Celtics,Celtics
Nuggets,Pelicans,Nuggets,Pelicans
Nuggets,Bulls,Nuggets,Bulls
Nuggets,Mavericks,Mavericks,Mavericks
Nuggets,Rockets,Rockets,Rockets
Nuggets,Clippers,Nuggets,Clippers
Nuggets,Lakers,Nuggets,Lakers
Nuggets,Heat,Heat,Heat
Nuggets,Bucks,Nuggets,Bucks
Nuggets,Timberwolves,Nuggets,Timberwolves
Nuggets,Nets,Nuggets,Nets
Nuggets,Knicks,Nuggets,Knicks
Nuggets,Magic,Nuggets,Magic
Nuggets,Pacers,Nuggets,Pacers
Nuggets,76ers,Nuggets,76ers
Nuggets,Suns,Nuggets,Suns
Nuggets,Trail Blazers,Nuggets,Trail Blazers
Nuggets,Kings,Nuggets,Kings
Nuggets,Spurs,Spurs,Spurs
Nuggets,Thunder,Nuggets,Thunder
Nuggets,Raptors,Nuggets,Raptors
Nuggets,Jazz,Jazz,Jazz
Nuggets,Grizzlies,Nuggets,Grizzlies
Nuggets,Wizards,Nuggets,Wizards
Nuggets,Pistons,Nuggets,Pistons
Nuggets,Hornets,Nuggets,Hornets
Nuggets,Cavaliers,Nuggets,Cavaliers
Nuggets,Warriors,Warriors,Warriors
Rockets,Hawks,Rockets,Hawks
Rockets,Celtics,Celtics,Celtics
Rockets,Pelicans,Rockets,Pelicans
Rockets,Bulls,Rockets,Bulls
Rockets,Mavericks,Mavericks,Mavericks
Rockets,Nuggets,Nuggets,Nuggets
Rockets,Clippers,Rockets,Clippers
Rockets,Lakers,Lakers,Lakers
Rockets,Heat,Heat,Heat
Rockets,Bucks,Rockets,Bucks
Rockets,Timberwolves,Rockets,Timberwolves
Rockets,Nets,Rockets,Nets
Rockets,Knicks,Rockets,Knicks
Rockets,Magic,Rockets,Magic
Rockets,Pacers,Rockets,Pacers
Rockets,76ers,Rockets,76ers
Rockets,Suns,Rockets,Suns
Rockets,Trail Blazers,Rockets,Trail Blazers
Rockets,Kings,Rockets,Kings
Rockets,Spurs,Spurs,Spurs
Rockets,Thunder,Rockets,Thunder
Rockets,Raptors,Rockets,Raptors
